ProductName,star,Ratings,Reviews,Current_Price,mrp,Processor,RAM,OS,Storage,ScreenSize
ASUS Zenbook 13 Intel EVO Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) UX325EA-KG512WS Thin a...,4.7,3,0,₹72990,₹98990,Intel Core i5 Processor (11th Gen),16 GB LPDDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,33.78 cm (13.3 Inch) Display
ASUS Vivobook Ultra K14 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) K14 Thin and Light Laptop,3.9,8,3,₹41990,₹58990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,35.81 cm (14.1 inch) Display
ASUS VivoBook 14 (2022) Core i5 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) X415EA-EB572WS T...,4.1,335,38,₹48990,₹72990,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,1 TB HDD|256 GB SSD,35.56 cm (14 inch) Display
HP Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5001TU Thin and Light Laptop,0,0,0,₹58990,₹69083,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display
HP Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5001TU Thin and Light Laptop,0,0,0,₹58990,₹69083,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display
ASUS Vivobook 14 Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) X415EA-EB372WS Thin and...,4.1,144,16,₹38990,₹57990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,1 TB HDD|256 GB SSD,35.81 cm (14.1 inch) Display
HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-FR2508TU Laptop,4.2,360,46,₹43590,₹51748,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display
MSI GP66 Leopard Core i7 11th Gen - (16 GB/1 TB SSD/Windows 10 Home/8 GB Graphics/NVIDIA GeForce RTX 3...,4.6,17,6,₹129990,₹173990,Intel Core i7 Processor (11th Gen),16 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB SSD,39.62 cm (15.6 inch) Display
ASUS VivoBook K15 OLED (2022) Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) K513EA-L312WS Thin ...,4.4,371,54,₹46990,₹62990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display
MSI Delta 15 AMD Advantage Edition Ryzen 9 Octa Core 5900HX 5th Gen - (16 GB/1 TB SSD/Windows 11 Home/...,4.5,13,3,₹124990,₹188990,AMD Ryzen 9 Octa Core Processor (5th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,1 TB SSD,39.62 cm (15.6 inch) Display
